,w,t,m,a
UV379-A,0.8,262143,4.5,0
UV446-A,0.9,262143,4.5,0
UV515-A,0.8,262143,4.5,0
UV540-A,0.9,262143,4.5,0
UV585-A,0.9,262143,4.5,0
UV610-A,0.9,262143,4.5,0
UV660-A,0.9,262143,4.5,0
UV695-A,0.9,262143,4.5,0
UV736-A,1.3,262143,4.5,0
UV809-A,1.1,262143,4.5,0
V427-A,0.8,262143,4.5,0
V450-A,0.9,262143,4.5,0
V470-A,0.8,262143,4.5,0
V510-A,0.6,262143,4.5,0
V540-A,0.9,262143,4.5,0
V576-A,0.9,262143,4.5,0
V595-A,0.9,262143,4.5,0
V615-A,0.9,262143,4.5,0
V660-A,0.9,262143,4.5,0
V680-A,0.9,262143,4.5,0
V710-A,0.9,262143,4.5,0
V750-A,1.1,262143,4.5,0
V785-A,0.9,262143,4.5,0
V845-A,0.9,262143,4.5,0
B510-A,0.9,262143,4.5,0
B537-A,1.1,262143,4.5,0
B576-A,0.9,262143,4.5,0
B602-A,0.9,262143,4.5,0
B660-A,0.9,262143,4.5,0
B675-A,0.9,262143,4.5,0
B710-A,0.9,262143,4.5,0
B750-A,1.2,262143,4.5,0
B810-A,1.1,262143,4.5,0
YG585-A,1,262143,4.5,0
YG602-A,0.9,262143,4.5,0
YG660-A,1.5,262143,4.5,0
YG670-A,0.9,262143,4.5,0
YG695-A,0.9,262143,4.5,0
YG730-A,0.9,262143,4.5,0
YG750-A,0.9,262143,4.5,0
YG780-A,0.9,262143,4.5,0
YG825-A,0.9,262143,4.5,0
R660-A,0.9,262143,4.5,0
R675-A,0.9,262143,4.5,0
R680-A,0.9,262143,4.5,0
R710-A,0.9,262143,4.5,0
R730-A,1.1,262143,4.5,0
R780-A,0.9,262143,4.5,0
