,UV379-A,UV515-A,UV585-A,UV610-A,UV660-A,UV736-A,UV809-A,V427-A,V470-A,V510-A,V615-A,V660-A,V710-A,V750-A,V785-A,B510-A,B537-A,B602-A,B675-A,B710-A,B750-A,B810-A,YG585-A,YG602-A,YG660-A,YG730-A,YG780-A,R675-A,R730-A,R780-A
UV379-A,1,0.098,0.01,0.0049,0.002,0.0015,9e-04,0.0087,0.0011,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0
UV515-A,0.0768,1,0.2817,0.1499,0.0611,0.031,0.0109,0.005,0.0626,0.0778,0.0253,0.0076,0.004,0.0036,8e-04,0.1783,0.12,0.0051,0.0015,0.0017,9e-04,3e-04,1e-04,2e-04,3e-04,1e-04,1e-04,1e-04,1e-04,0
UV585-A,0.0562,0.0266,1,0.5583,0.2073,0.0895,0.0273,0.0039,7e-04,2e-04,0.0232,0.0061,0.0031,0.0027,9e-04,0.0013,0.1588,0.0789,0.0204,0.0369,0.0091,0.0027,0.3254,0.1992,0.1583,0.0286,0.0174,0,0,1e-04
UV610-A,0.0294,0.0078,0.1997,1,0.5924,0.3516,0.1124,0.0025,3e-04,1e-04,0.0971,0.0341,0.0221,0.0189,0.0037,1e-04,2e-04,0.0204,0.0165,0.0186,0.0086,0.0024,0.1639,0.5618,0.602,0.1466,0.1034,0.0047,0.0025,0.001
UV660-A,0.027,0.0075,0.0027,0.0513,1,0.6156,0.1899,0.0027,3e-04,0,0.0077,0.0544,0.0357,0.0309,0.006,0,1e-04,9e-04,0.0298,0.0236,0.011,0.0031,0.001,0.0088,0.3061,0.1244,0.113,0.413,0.2457,0.0779
UV736-A,0.0099,0.0077,4e-04,2e-04,0.001,1,0.5445,8e-04,1e-04,0,0,0,0.0171,0.0796,0.0145,0,1e-04,-0.0025,5e-04,0.0391,0.155,0.0629,0,0,1e-04,0.0191,0.0242,0.0014,0.2574,0.0873
UV809-A,0.0284,0.0082,0.0019,0.0017,0.0011,0.0276,1,0.0021,4e-04,1e-04,1e-04,0,1e-04,0.0023,0.016,1e-04,2e-04,2e-04,1e-04,2e-04,0.0014,0.0087,2e-04,2e-04,3e-04,5e-04,0.0136,2e-04,0.0044,0.0636
V427-A,0,0.0126,0.0015,7e-04,3e-04,2e-04,1e-04,1,0.0932,0.0165,0.002,6e-04,4e-04,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V470-A,0,0.2158,0.0632,0.0374,0.0157,0.0079,0.0029,0.001,1,0.4039,0.1482,0.0458,0.0226,0.0201,0.0042,0.1587,0.108,0.0054,0.0018,0.0021,0.0011,3e-04,0,0,1e-04,0,0,0,0,0
V510-A,0,0.2084,0.104,0.0607,0.0277,0.0148,0.0051,0.0513,0.5873,1,0.6467,0.2331,0.1658,0.1515,0.0204,0.519,0.4657,0.0494,0.0165,0.0185,0.0093,0.0026,1e-04,2e-04,2e-04,1e-04,0,0,0,0
V615-A,0,9e-04,0.154,0.388,0.3127,0.2015,0.0706,0.1742,0.0344,0.0028,1,0.5763,0.3268,0.3325,0.0687,0,1e-04,0.0437,0.0317,0.0372,0.0222,0.0063,0.2557,0.4714,0.5618,0.162,0.1122,0.0019,0.0012,4e-04
V660-A,0,0.0013,0.002,0.0611,0.5227,0.3274,0.0976,0.1793,0.0183,0.003,0.2385,1,0.6193,0.5133,0.1,1e-04,3e-04,0.001,0.0127,0.0166,0.008,0.0024,0.0016,0.0171,0.4091,0.1078,0.0669,0.2146,0.1261,0.0433
V710-A,0,9e-04,2e-04,1e-04,0.006,0.9056,0.3096,0.145,0.0145,0.0025,8e-04,0.0078,1,1.1754,0.3034,1e-04,2e-04,1e-04,0.0053,0.1035,0.0927,0.0319,1e-04,1e-04,0.0017,0.072,0.0544,0.0255,0.3626,0.1527
V750-A,0,3e-04,1e-04,1e-04,2e-04,0.2483,0.276,0.0415,0.0043,7e-04,5e-04,3e-04,0.057,1,0.2467,0,1e-04,0,1e-04,0.0036,0.055,0.0232,0,1e-04,1e-04,0.0035,0.0175,1e-04,0.0575,0.0435
V785-A,0,0.0011,4e-04,4e-04,6e-04,0.1322,0.8348,0.1423,0.015,0.0027,0.0014,0.0014,0.0118,0.8616,1,2e-04,4e-04,1e-04,2e-04,6e-04,0.026,0.0502,1e-04,1e-04,4e-04,0.0012,0.0551,7e-04,0.0293,0.1523
B510-A,0,0.0136,0.0057,0.0027,0.0011,5e-04,2e-04,1e-04,0,0.0057,0.0029,9e-04,5e-04,4e-04,1e-04,1,1.0119,0.0342,0.0074,0.0079,0.0037,0.0011,0,0,0,0,0,0,0,0
B537-A,1e-04,0.0038,0.0158,0.0095,0.004,0.0026,0.001,0,0,0.001,0.013,0.0042,0.0022,0.002,5e-04,0.0494,1,0.103,0.029,0.0325,0.0159,0.0044,0.0069,0.0051,0.0043,0.0014,0.001,1e-04,0.0041,0.0019
B602-A,0,0.0043,0.1133,0.0922,0.0664,0.0411,0.0147,0.0102,0.0045,0.003,0.0765,0.0445,0.0299,0.0298,0.0064,0.0678,0.0869,1,0.6048,0.6554,0.3482,0.0947,-0.2018,0.0655,0.3186,0.1349,0.097,0.0645,0.0359,0.0126
B675-A,0,0,1e-04,4e-04,0.2015,0.3873,0.0938,0.0174,0.0013,1e-04,0.0012,0.0689,0.1939,0.3681,0.0392,2e-04,8e-04,0.001,1,0.4878,0.4562,0.1039,2e-04,4e-04,0.1412,0.2443,0.1918,0.4236,0.1466,0.0355
B710-A,0,0,0,0,0,0.1337,0.0562,0,0,0,0,0,0.0492,0.0454,0.0135,0.0021,0.0017,0,0.0748,1,0.6608,0.2618,0,0,0,0.0153,0.0122,0.013,0.1371,0.0623
B750-A,0,0,0,0,0,0.1086,0.0921,0,0,0,0,0,0.0053,0.0797,0.0181,0.0047,0.0111,4e-04,8e-04,0.1144,1,0.4031,0,0,0,0.0038,0.0116,0,0.0588,0.0348
B810-A,0,0,0,0,0,0.0185,0.1703,0,0,0,0,0,0,0.026,0.0422,0.0254,0.035,0.0036,0.0017,0.0076,0.4095,1,0,0,0,3e-04,0.0272,0,0.0062,0.028
YG585-A,0,0,0.1499,0.0648,0.0257,0.0113,0.0031,0,0,0,0.0939,0.0266,0.0134,0.0089,0.0018,0.0035,0.0442,0.3665,0.0836,0.1127,0.0379,0.0101,1,0.5066,0.3645,0.0753,0.0395,1e-04,1e-04,0
YG602-A,0,0,0.0152,0.1033,0.0695,0.049,0.0172,0,0,0,0.1956,0.0725,0.0547,0.0452,0.01,0.0034,0.0073,0.3876,0.3885,0.4948,0.2255,0.0664,0.2267,1,1.215,0.3443,0.2565,0.0057,0.0041,0.0016
YG660-A,0,0,0,0,0.0592,0.0762,0.0142,0,0,0,0,0.0429,0.0409,0.0454,0.0074,0,0,0.0037,0.5212,0.5472,0.337,0.0961,0.0132,0.0069,1,0.4434,0.3274,0.2533,0.1351,0.0439
YG730-A,0,0,0,0,0,0.0164,0.007,0,0,0,0,0,0.0052,0.0036,0.0013,0,0,0.002,0.031,0.3271,0.185,0.074,0.029,0.0182,0.0368,1,0.7806,0.0092,0.0541,0.0268
YG780-A,0,0,0,0,0,0.0076,0.0689,0,0,0,0,0,0,0.0276,0.038,0,0,4e-04,0,0.0011,0.2088,0.3622,0.0032,9e-04,7e-04,0.0119,1,0,0.007,0.0445
R675-A,0,0,0,0.0012,0.1674,0.0999,0.03,0,0,0,0.0015,0.1091,0.0503,0.0674,0.0104,0,0,1e-04,0.0479,0.0535,0.0114,-0.0095,2e-04,0.0025,0.7588,0.218,0.1266,1,0.6556,0.2232
R730-A,0,0,0,0,0,0.1233,0.064,0,0,0,0,0,0.0207,0.0348,0.0107,0,0,0,0,0.0031,0.0051,0.0022,0,0,0,0.0958,0.0793,0.0168,1,0.4324
