,UV379-A,UV515-A,UV585-A,UV610-A,UV660-A,UV736-A,UV809-A,V427-A,V470-A,V510-A,V615-A,V660-A,V710-A,V750-A,V785-A,B510-A,B537-A,B602-A,B675-A,B710-A,B750-A,B810-A,YG585-A,YG602-A,YG660-A,YG730-A,YG780-A,YG825-A,R675-A,R730-A,R780-A
UV379-A,1,0.1001,0.0117,0.0051,0.0029,0.0016,6e-04,0.0109,0.0023,2e-04,2e-04,4e-04,0,2e-04,0,0.001,4e-04,3e-04,1e-04,1e-04,4e-04,3e-04,2e-04,-1.00E-04,-2.00E-04,-1.00E-04,1e-04,1e-04,1e-04,2e-04,0
UV515-A,0.0763,1,0.2806,0.1499,0.0631,0.0324,0.0104,0.0068,0.0538,0.0661,0.022,0.0062,0.0031,0.0028,5e-04,0.1835,0.1286,0.0042,8e-04,0.0013,5e-04,2e-04,2e-04,3e-04,4e-04,0,0,1e-04,-2.00E-04,1e-04,0
UV585-A,0.0642,0.0327,1,0.5613,0.2027,0.0908,0.0272,0.002,6e-04,2e-04,0.0181,0.0053,0.0026,0.002,3e-04,0.0014,0.1541,0.0678,0.0215,0.0238,0.0095,0.0022,0.3357,0.1912,0.1241,0.0258,0.0154,0.005,0,2e-04,0
UV610-A,0.0264,0.0073,0.1857,1,0.6006,0.3605,0.1151,0.0025,3e-04,1e-04,0.0877,0.031,0.0205,0.0174,0.0032,2e-04,0,0.0219,0.0183,0.0208,0.0095,0.0022,0.14,0.5282,0.5656,0.1428,0.1016,0.0331,0.0046,0.0023,9e-04
UV660-A,0.0138,0.0041,0.0015,0.0293,1,0.685,0.1964,0.0011,2e-04,0,0.0026,0.0499,0.0326,0.0296,0.0054,0,0,1e-04,0.0128,0.0153,0.0081,0.0018,3e-04,0.0034,0.3068,0.0903,0.0524,0.0197,0.426,0.2522,0.079
UV736-A,0.0094,0.0026,4e-04,2e-04,0.001,1,0.4932,0.0028,4e-04,1e-04,0,0,0.0137,0.0663,0.0117,0,0,0,4e-04,0.0418,0.1532,0.048,0,0,0,0.0119,0.0218,0.0108,0.0011,0.2524,0.0942
UV809-A,0.028,0.008,0.002,0.0015,9e-04,0.0236,1,0.0052,9e-04,1e-04,1e-04,0,1e-04,0.0019,0.0136,1e-04,1e-04,1e-04,0,1e-04,0.0011,0.0088,1e-04,1e-04,2e-04,2e-04,0.0118,0.0159,1e-04,0.0025,0.0547
V427-A,3e-04,0.0133,0.0018,9e-04,4e-04,2e-04,1e-04,1,0.095,0.016,0.0023,7e-04,4e-04,6e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V470-A,5e-04,0.2214,0.0656,0.0389,0.016,0.0079,0.0024,0.0023,1,0.4034,0.1533,0.0513,0.0243,0.0389,0.0132,0.1918,0.1375,0.0058,0.0016,0.0019,8e-04,2e-04,0,-1.00E-04,-1.00E-04,-1.00E-04,0,0,0,1e-04,-1.00E-04
V510-A,-0.0012,0.2697,0.1304,0.0723,0.0303,0.0155,0.0029,-0.0245,0.5879,1,0.5834,0.2137,0.1044,0.0891,0.0116,0.4507,0.4032,0.019,0.003,0.006,0.0023,3e-04,5e-04,1e-04,-0.0018,0.0012,-1.00E-04,0.001,0.0904,0.0022,-5.00E-04
